latitude,longitude,street_num,street_name,city,province,postal_code
43.2143344,-79.9633029,279,Alma Lane,Hamilton,Ontario,L9G 2C1
43.5390332,-80.2675472,132,Alma Street North,Guelph,Ontario,N1H 5H7
43.5351341,-80.2617744,33,Alma Street South,Guelph,Ontario,N1H 3C3
45.0164658,-75.651884,111,Alma West Street,North Grenville,Ontario,K0G 1J0
49.8059344,-119.4841235,661,Almandine Court,Kelowna,British Columbia,V1W 1W2
43.3263099,-79.7938343,390,Almas Common,Burlington,Ontario,L7R 2M8
43.3264095,-79.793977,396,Almas Common,Burlington,Ontario,L7R 2M8
43.7507232,-79.6032938,50,Almayo Crescent,Toronto,Ontario,M9V 3J4
43.7418862,-79.4389115,18,Almington Street,Toronto,Ontario,M3H 1S8
43.8929205,-79.2342234,9,Almira Avenue,Markham,Ontario,L6B 1B5
43.8042179,-79.4064892,9,Almond Avenue,Markham,Ontario,L3T 1J3
49.902387,-119.3852225,136,Almond Court,Kelowna,British Columbia,V1X 2M9
42.957113,-81.2013501,37,Almond Court,London,Ontario,N5Z 4H2
45.3036906,-75.8859291,26,Almond Lane,Ottawa,Ontario,K2L 1V1
42.9566898,-81.1998851,62,Almond Road,London,Ontario,N5Z 4H2
43.7388133,-79.4359884,22,Almont Road,Toronto,Ontario,M3H 1S8
43.7478845,-79.4378065,17,Almore Avenue,Toronto,Ontario,M3H 2K2
43.7777912,-79.4739163,739,Alness Street,Toronto,Ontario,M3J 2M4
44.176042,-77.4121709,57,Alnet Drive,Belleville,Ontario,K8P 4K9
43.7052432,-79.7025945,105,Aloma Crescent,Brampton,Ontario,L6T 2W8
45.2803333,-75.9306847,69,Alon Street,Ottawa,Ontario,K2S 1B9
43.420767,-80.296435,13,Alona Avenue,Cambridge,Ontario,N1T 2K8
43.9010729,-78.6958865,49,Alonna Street,Clarington,Ontario,L1C 3L1
43.8125752,-79.7200086,11,Alovera Street,Brampton,Ontario,L6P 0A2
43.7506257,-79.2270679,61,Alpaca Drive,Toronto,Ontario,M1J 2V6
45.2755189,-75.7109674,26,Alpenglow Private,Ottawa,Ontario,K2G 4P4
42.2352645,-82.993026,719,Alpenrose Court,Windsor,Ontario,N9G 3E5
43.8152462,-79.60215,40,Alpha Court,Vaughan,Ontario,L4H 2J2
43.8155885,-79.6022051,56,Alpha Court,Vaughan,Ontario,L4H 2J2
48.4473169,-123.3744115,610,Alpha Street,Victoria,British Columbia,V8Z 3K8
48.4468725,-123.3782662,408,Alpha Terrace,Victoria,British Columbia,V8Z 1B8
43.2428254,-79.8573625,52,Alpine Avenue,Hamilton,Ontario,L9A 3P5
43.2423559,-79.8551058,104,Alpine Avenue,Hamilton,Ontario,L8N 2W1
50.4951303,-104.6000813,18,Alport Crescent,Regina,Saskatchewan,S4R 8C5
43.7661378,-79.3142091,35,Alrita Crescent,Toronto,Ontario,M1R 2L2
43.8579761,-79.4856391,23,Alrob Court,Vaughan,Ontario,L6A 4K5
43.8578492,-79.4859516,33,Alrob Court,Vaughan,Ontario,L6A 4K5
43.8950044,-79.3765157,20,Alsop Avenue,Markham,Ontario,L6C 0J4
42.9429946,-81.2401191,463,Alston Road,London,Ontario,N6E 3N4
43.8144655,-79.4638887,28,Alta Vista Court,Vaughan,Ontario,L4J 0A7
43.8146364,-79.4630276,35,Alta Vista Court,Vaughan,Ontario,L4J 0A7
43.138732,-80.7535323,56,Altadore Crescent,Woodstock,Ontario,N4S 5R3
43.7844288,-79.3251847,19,Altair Avenue,Toronto,Ontario,M2J 4A7
43.7788021,-79.4258392,15,Altamont Road,Toronto,Ontario,M2M 1E3
52.2421704,-113.7715277,17,Altena Close,Red Deer,Alberta,T4R 3N7
43.2248552,-79.9672457,37,Alterra Boulevard,Hamilton,Ontario,L9G 2C1
43.8147072,-79.5975989,25,Alterra Court,Vaughan,Ontario,L4H 2J2
45.435285,-75.6579281,318,Altha Avenue,Ottawa,Ontario,K1L 6H8
43.4548209,-80.5817124,556,Altheim Crescent,Waterloo,Ontario,N2J 3Z4
43.454793,-80.5824516,560,Altheim Crescent,Waterloo,Ontario,N2J 3Z4
42.9753621,-82.3507261,483,Althouse Court,Sarnia,Ontario,N7S 6E9
45.2726892,-75.807512,92,Alti Place,Ottawa,Ontario,K2J 6E5
43.2067659,-79.7942067,33,Alto Drive,Hamilton,Ontario,L8J 3Z6
52.2441901,-113.787597,14,Alton Close,Red Deer,Alberta,T4R 3H3
43.7136967,-79.7039771,12,Alton Court,Brampton,Ontario,L6T 1V9
44.6349073,-63.6293162,26,Alton Drive,Halifax,Nova Scotia,B3N 1J4
52.2439276,-113.7865435,8,Alton Street,Red Deer,Alberta,T4R 3H3
43.8237802,-79.2739795,80,Alton Towers Circle,Toronto,Ontario,M1V 4L3
49.9079793,-119.4651287,29,Altura Road,Kelowna,British Columbia,V1Y 8K9
43.7992986,-79.6725226,48,Altura Way,Brampton,Ontario,L6P 3X3
43.859856,-79.4677186,34,Altus Park Drive,Vaughan,Ontario,L6A 4N7
43.8597532,-79.4680613,38,Altus Park Drive,Vaughan,Ontario,L6A 4N7
44.3640669,-79.7085334,204,Alva Street,Barrie,Ontario,L4N 9C7
44.3642433,-79.709222,207,Alva Street,Barrie,Ontario,L4N 9C7
43.8202933,-79.2780282,18,Alvin Curling Crescent,Toronto,Ontario,M1V 4L3
49.2748991,-123.1200425,201,Alvin Narod Mews,Vancouver,British Columbia,V6Z 2X7
43.7229444,-79.297297,13,Alvinston Road,Toronto,Ontario,M1L 2K1
44.2193344,-76.5114333,220,Alwington Place,Kingston,Ontario,K7L 4L3
44.0333205,-77.618743,32,Alyea Road,Quinte West,Ontario,K0K 1L0
43.875288,-79.4799876,38,Alysha Way,Vaughan,Ontario,L6A 4K5
43.8765006,-79.4786225,76,Alysha Way,Vaughan,Ontario,L6A 4K5
43.009633,-79.282144,15,Alyson Court,Welland,Ontario,L3C 3C9
43.6944273,-79.4691082,17,Alyward Street,Toronto,Ontario,M6E 4Y2
43.7771603,-79.6110981,16,Amalfi Court,Vaughan,Ontario,L4L 8C3
43.2218586,-79.9256982,20,Amalfi Street,Hamilton,Ontario,L9C 7B9
43.5149802,-80.1860949,19,Amalia Crescent,Guelph,Ontario,N1L 1G9
45.4002717,-75.7439942,59,Amanda Avenue,Ottawa,Ontario,K1Y 0M1
43.3792801,-79.7408031,472,Amanda Crescent,Burlington,Ontario,L7L 3W5
43.381176,-79.7429441,515,Amanda Crescent,Burlington,Ontario,L7L 3W5
43.8135334,-79.2751063,71,Amanda Drive,Toronto,Ontario,M1V 1E5
43.228037,-79.883841,37,Amanda Street,Hamilton,Ontario,L9A 2N5
43.4255096,-80.2863823,83,Amanda Walk,Cambridge,Ontario,N1T 2K8
43.6626365,-79.7179197,33,Amantine Crescent,Brampton,Ontario,L6W 4P5
43.6620412,-79.7174708,54,Amantine Crescent,Brampton,Ontario,L6W 4P5
43.7249072,-79.8311235,118,Amaranth Crescent,Brampton,Ontario,L7A 0M8
43.8387113,-79.1309002,616,Amaretto Avenue,Pickering,Ontario,L1V 3Y9
43.8405126,-79.1269309,681,Amaretto Avenue,Pickering,Ontario,L1V 3Y9
43.7898629,-79.6143384,36,Amaretto Court,Vaughan,Ontario,L4L 6H3
43.7895594,-79.6155655,63,Amaretto Court,Vaughan,Ontario,L4L 6H3
43.8357623,-79.3064438,86,Amarillo Avenue,Markham,Ontario,L3R 6E4
43.8357984,-79.3057983,91,Amarillo Avenue,Markham,Ontario,L3R 6E4
45.2862343,-75.705201,100,Amarillo Drive,Ottawa,Ontario,K2G 6T3
43.8247576,-79.6185841,66,Amarone Avenue,Vaughan,Ontario,L4H 1R1
43.8249605,-79.6195595,75,Amarone Avenue,Vaughan,Ontario,L4H 1R1
44.2700306,-76.6269695,733,Amaryllis Street,Kingston,Ontario,K7M 6E8
45.3629147,-75.7686687,101,Amaya Private,Ottawa,Ontario,K2A 1P5
43.7414172,-79.7587338,16,Amazon Court,Brampton,Ontario,L6R 1T4
43.7859619,-79.5674694,37,Ambassador Crescent,Vaughan,Ontario,L4L 1S6
43.7855981,-79.5682821,53,Ambassador Crescent,Vaughan,Ontario,L4L 1S6
43.7453267,-79.4531808,19,Ambassador Place,Toronto,Ontario,M3H 2E9
43.8966764,-78.8884907,175,Amber Avenue,Oshawa,Ontario,L1J 2L3
44.094776,-78.9537713,10,Amber Court,Scugog,Ontario,L9L 1K6
43.8279988,-79.3300345,71,Amber Street,Markham,Ontario,L3R 5E4
46.5136023,-84.2560283,21,Amber Street,Sault Ste. Marie,Ontario,P6A 5G1
43.8154123,-79.316831,136,Ambercroft Boulevard,Toronto,Ontario,M1W 3M9
43.9035979,-79.2433299,20,Ambercroft Street,Markham,Ontario,L6B 1E8
43.9035923,-79.2433569,20,Ambercroft Street,Markham,Ontario,L6B 1E8
46.5113893,-80.9924932,190,Amberdale Court,Sudbury,Ontario,P3C 5T3
43.7626641,-79.2539217,17,Amberdale Drive,Toronto,Ontario,M1P 3E9
43.7440326,-79.774206,20,Amberhill Trail,Brampton,Ontario,L6R 2Z4
42.9749962,-81.294329,651,Amberley Avenue,London,Ontario,N6H 4K9
44.2429459,-76.5791506,790,Amberley Place,Kingston,Ontario,K7M 6W6
43.2069084,-79.9948651,179,Amberly Boulevard,Hamilton,Ontario,L9G 4R6
45.4474307,-75.6151081,16,Amberly Court,Ottawa,Ontario,K1J 6N5
45.449009,-75.614445,11,Amberly Place,Ottawa,Ontario,K1J 6N5
43.8410109,-79.4704144,18,Amberty Street,Vaughan,Ontario,L4J 8W5
43.8630094,-79.3244531,25,Amberwood Court,Markham,Ontario,L3R 9N6
45.3207964,-75.7102895,56,Amberwood Crescent,Ottawa,Ontario,K2G 1G6
43.8235593,-79.1220631,645,Amberwood Crescent,Pickering,Ontario,L1V 3Y9
43.4600675,-80.5678358,323,Amberwood Drive,Waterloo,Ontario,N2T 2Z4
45.9628336,-66.7242273,20,Amberwood Lane,Fredericton,New Brunswick,E3C 2B8
43.5319931,-80.2086372,13,Amberwood Lane,Guelph,Ontario,N1G 0C5
43.723918,-79.793802,26,Amberwood Square,Brampton,Ontario,L6Z 2Z7
43.1989479,-79.7976593,35,Amberwood Street,Hamilton,Ontario,L8J 3Z6
43.6522852,-79.782727,42,Ambiance Court,Brampton,Ontario,L6Y 0Y3
45.2871476,-75.7076892,97,Ambiance Drive,Ottawa,Ontario,K2G 6T3
44.4137913,-79.6498866,82,Ambler Bay,Barrie,Ontario,L4M 6M2
43.6296875,-79.5166098,104,Ambleside Avenue,Toronto,Ontario,M8Z 2R1
43.4942317,-80.5196299,166,Ambleside Court,Waterloo,Ontario,N2J 4Z8
53.4337928,-113.6097192,304,Ambleside Link SW,Edmonton,Alberta,T6W 0L9
53.4339449,-113.6111267,320,Ambleside Link SW,Edmonton,Alberta,T6W 0L9
53.4339449,-113.6111267,320,Ambleside Link SW,Edmonton,Alberta,T6W 0L9
43.6980595,-79.8120917,52,Amboise Crescent,Brampton,Ontario,L7A 3Z6
43.2051397,-79.8555189,10,Ambridge Court,Hamilton,Ontario,L8W 1C4
49.7797538,-119.5647955,212,Ambridgefeld Road,Kelowna,British Columbia,V1W 4S5
43.8876824,-79.2591034,10,Ambrose Court,Markham,Ontario,L3P 4P8
43.7739778,-79.3726311,50,Ambrose Road,Toronto,Ontario,M2K 2S5
43.1497337,-79.2553679,24,Ambrose Street,St. Catharines,Ontario,L2R 7C3
48.4326196,-89.2228727,215,Ambrose Street,Thunder Bay,Ontario,P7B 2W3
43.7266872,-79.4398781,35,Ameer Avenue,Toronto,Ontario,M6A 2L3
43.4484431,-80.4083314,533,Amelia Court,Kitchener,Ontario,N2A 0E4
43.3849513,-79.7460336,570,Amelia Crescent,Burlington,Ontario,L7L 4M5
42.9820328,-79.2583434,24,Amelia Lane,Welland,Ontario,L3C 5J6
45.4247928,-75.5229378,619,Amelia Place,Ottawa,Ontario,K1W 0H8
48.3659941,-89.2630011,356,Amelia Street East,Thunder Bay,Ontario,P7E 3V4
48.3658451,-89.283273,248,Amelia Street West,Thunder Bay,Ontario,P7E 3W6
43.8189541,-79.6132978,13,Amelynn Crescent,Vaughan,Ontario,L4H 1R1
43.8189348,-79.6144181,56,Amelynn Crescent,Vaughan,Ontario,L4H 1R1
52.2454543,-113.7684731,15,Amer Close,Red Deer,Alberta,T4R 3N7
43.8614188,-79.5430824,97,America Avenue,Vaughan,Ontario,L6A 3B1
43.7493615,-79.3677942,29,Ames Circle,Toronto,Ontario,M3B 1P7
43.0067069,-82.3856749,693,Amesbury Court,Sarnia,Ontario,N7V 3Z3
43.2023169,-79.8006455,30,Amesbury Crescent,Hamilton,Ontario,L8J 3Z6
43.7029346,-79.481554,41,Amesbury Drive,Toronto,Ontario,M6M 2Y8
43.7028798,-79.4821003,46,Amesbury Drive,Toronto,Ontario,M6M 2Y8
43.782038,-79.6721225,80,Amethyst Circle,Brampton,Ontario,L6P 2G7
45.2730314,-75.9100622,44,Amethyst Crescent,Ottawa,Ontario,K2S 1Y9
43.203221,-79.8641108,2,Amherst Circle,Hamilton,Ontario,L8W 1C4
44.2272482,-76.6326361,22,Amherst Drive,Kingston,Ontario,K7N 1A5
44.2278762,-76.6347308,47,Amherst Drive,Kingston,Ontario,K7N 1A5
43.3924215,-80.4134878,18,Amherst Drive,Kitchener,Ontario,N2P 1H7
44.2265234,-76.6585353,333,Amherst Drive,Loyalist,Ontario,K7N 1A5
46.5416274,-84.3911976,27,Amherst Street,Sault Ste. Marie,Ontario,P6C 5A7
45.2745408,-75.863398,332,Amici Terrace,Ottawa,Ontario,K2S 0K7
43.7759275,-79.1880293,48,Amiens Road,Toronto,Ontario,M1E 3G1
45.4728408,-75.5001497,354,Amiens St,Ottawa,Ontario,K1E 1S9
44.7114062,-63.6806603,62,Amin Street,Bedford,Nova Scotia,B4A 3P1
44.6954827,-63.669444,75,Amirault Court,Halifax,Nova Scotia,B3M 0G5
45.3589637,-75.6964406,300,Amita Crescent,Ottawa,Ontario,K2C 1P4
52.2412097,-113.7676689,24,Amlee Close,Red Deer,Alberta,T4R 3N7
52.2433946,-113.7730874,94,Ammeter Close,Red Deer,Alberta,T4R 3N7
45.2722848,-75.9072188,20,Ammolite Street,Ottawa,Ontario,K2S 2C5
43.2149117,-79.9176618,50,Amore Boulevard,Hamilton,Ontario,L9C 4T2
43.4567139,-80.5460433,28,Amos Avenue,Waterloo,Ontario,N2L 1W4
43.9099248,-79.2479489,9,Amos Court,Markham,Ontario,L6E 2G1
43.9101542,-79.2484558,10,Amos Court,Markham,Ontario,L6E 2G1
43.7848985,-79.5956067,10,Amos Maynard Circle,Vaughan,Ontario,L4L 1L2
43.8279646,-79.5650822,31,Amparo Drive,Vaughan,Ontario,L4H 2W8
43.8277831,-79.5665237,65,Amparo Drive,Vaughan,Ontario,L4H 2W8
43.8280678,-79.5672722,88,Amparo Drive,Vaughan,Ontario,L4H 2W8
43.7858919,-79.6621121,29,Ampersand Drive,Brampton,Ontario,L6P 2R1
43.8259115,-79.5739806,22,Ampezzo Avenue,Vaughan,Ontario,L4H 2W8
43.8260587,-79.2956131,12,Ampleford Place,Toronto,Ontario,L3R 6Z8
43.6841352,-79.3106956,21,Amroth Avenue,Toronto,Ontario,M4C 1K2
43.9116015,-78.8519475,411,Amstel Court,Oshawa,Ontario,L1G 7T7
42.9851546,-82.3640491,806,Amsterdam Court,Sarnia,Ontario,N7S 3Y1
43.6799144,-79.7739589,60,Amsterdam Crescent,Brampton,Ontario,L6Y 2C8
45.2722437,-75.6820641,511,Amulet Grove,Ottawa,Ontario,K1V 2A7
45.3128583,-75.8871687,16,Amundsen Crescent,Ottawa,Ontario,K2L 1Y9
43.7881668,-79.6667947,13,Amy Avenue,Brampton,Ontario,L6P 2R1
46.5289291,-84.27453,30,Amy Avenue,Sault Ste. Marie,Ontario,P6B 4G1
52.2429195,-113.7870177,32,Amy Close,Red Deer,Alberta,T4R 3H3
43.799117,-79.5503021,45,Amy Court,Vaughan,Ontario,L4L 7N7
43.8000137,-79.5515057,87,Amy Court,Vaughan,Ontario,L4L 7N7
43.0145711,-81.2172466,75,Amy Crescent,London,Ontario,N5Y 3L7
44.5996655,-75.6875222,28,Amy Street,Brockville,Ontario,K6V 1W4
45.2685208,-75.9101817,25,Amy Street,Ottawa,Ontario,K2S 1Y9
43.8371886,-79.5700408,75,Amy Wood Road,Vaughan,Ontario,L4H 3A2
43.8376646,-79.5722778,141,Amy Wood Road,Vaughan,Ontario,L4H 0W9
44.3010475,-78.3683929,21,Amy's Court,Peterborough,Ontario,K9J 6L3
44.7212737,-63.6808218,25,Anahid Court,Bedford,Nova Scotia,B4A 3P1
44.7347835,-63.6531107,8,Analise Lane,Bedford,Nova Scotia,B4A 1E4
45.3684562,-75.6642853,655,Anand Private,Ottawa,Ontario,K1V 7Z4
43.4595567,-80.5508853,360,Anatolin Place,Waterloo,Ontario,N2L 5N2
45.3757931,-75.7756438,177,Ancaster Avenue,Ottawa,Ontario,K2A 3T9
43.2617936,-79.9441854,13,Ancaster Street East,Hamilton,Ontario,L9H 4H4
43.6795766,-79.8086551,25,Ancestor Drive,Brampton,Ontario,L6X 0G9
43.1933468,-79.8244162,270,Anchor Road,Hamilton,Ontario,L8W 3R2
43.8285041,-79.5608463,17,Ancon Road,Vaughan,Ontario,L4H 2X4
43.8295741,-79.5611025,51,Ancon Road,Vaughan,Ontario,L4H 2X4
45.3406322,-75.7782953,27,Ancona Crescent,Ottawa,Ontario,K2G 0R9
43.7771049,-79.4402784,34,Ancona Street,Toronto,Ontario,M2R 1K1
45.3336567,-75.7374096,9,Ancroft Court,Ottawa,Ontario,K2J 1W2
45.9538161,-66.6377531,15,Andal Lane,Fredericton,New Brunswick,E3B 4C9
45.2774933,-75.8792124,337,Andalusian Crescent,Ottawa,Ontario,K2M 2C5
52.250964,-113.7896496,63,Anders Close,Red Deer,Alberta,T4N 6R9
44.0891897,-78.9411647,35,Anders Drive,Scugog,Ontario,L9L 1H8
52.2499954,-113.7886755,24,Anders Street,Red Deer,Alberta,T4N 6R9
52.2504461,-113.7835214,92,Anderson Close,Red Deer,Alberta,T4N 6R9
43.2132857,-80.0156604,22,Anderson Court,Hamilton,Ontario,L9G 3K9
43.3443749,-80.2942059,34,Anderson Drive,Cambridge,Ontario,N1R 7H2
46.536778,-84.4139998,27,Anderson Road,Sault Ste. Marie,Ontario,P6C 2K8
44.57944,-80.9577272,121,Anderson Street,Georgian Bluffs,Ontario,N4K 5K5
43.1792472,-79.226162,16,Anderson Street,St. Catharines,Ontario,L2M 5M7
43.7623818,-79.7438752,13,Andes Court,Brampton,Ontario,L6R 3A4
43.8414759,-79.5606534,44,Andes Crescent,Vaughan,Ontario,L4H 3H5
43.841909,-79.5618999,125,Andes Crescent,Vaughan,Ontario,L4H 3H5
43.7974827,-79.3016634,13,Andes Road,Toronto,Ontario,M1T 2Z3
43.7923885,-79.14272,198,Andona Crescent,Toronto,Ontario,M1C 2W5
43.7652099,-79.1946569,34,Andover Crescent,Toronto,Ontario,M1E 2S2
42.9453393,-81.2732692,209,Andover Drive,London,Ontario,N6J 4S5
44.7018857,-63.5507001,22,Andover Street,Dartmouth,Nova Scotia,B2X 2L9
45.246536,-75.7349004,209,Andre Audet Avenue,Ottawa,Ontario,K2J 5W6
50.4805988,-104.6704333,43,Andre Avenue,Regina,Saskatchewan,S4R 7M2
46.5765372,-81.1927888,24,Andre Street,Sudbury,Ontario,P0M 1L0
43.3364872,-79.7990304,646,Andrea Court,Burlington,Ontario,L7R 1T8
43.3364957,-79.7990338,646,Andrea Court,Burlington,Ontario,L7R 1T8
43.137696,-79.2607815,26,Andrea Drive,St. Catharines,Ontario,L2S 2T8
43.8002012,-79.5698268,110,Andrea Lane,Vaughan,Ontario,L4L 3W4
43.7996958,-79.5695801,113,Andrea Lane,Vaughan,Ontario,L4L 3W4
43.6693433,-79.81678,25,Andretti Crescent,Brampton,Ontario,L7A 0G2
45.2594401,-75.9238895,12,Andrew Alexander Court,Ottawa,Ontario,K2S 1A3
43.723091,-79.2461236,38,Andrew Avenue,Toronto,Ontario,M1M 1T2
43.2329999,-79.8721468,13,Andrew Court,Hamilton,Ontario,L9C 5R8
43.8620395,-79.5592142,118,Andrew Hill Road,Vaughan,Ontario,L4H 3M7
43.8621312,-79.5558345,203,Andrew Hill Road,Vaughan,Ontario,L4H 3M7
43.7785497,-79.6076614,63,Andrew Park,Vaughan,Ontario,L4L 8C3
43.7793539,-79.607994,165,Andrew Park,Vaughan,Ontario,L4L 8C3
44.6080478,-79.4214747,3,Andrew Street,Orillia,Ontario,L3V 5A9
44.0006148,-81.2959669,13,Andrew Street,South Bruce,Ontario,N0G 2S0
50.4956309,-104.5957294,51,Andrews Crescent,Regina,Saskatchewan,S4R 8C5
43.8599262,-79.2222237,18,Andriana Crescent,Markham,Ontario,L6B 0P2
43.8593554,-79.2227516,27,Andriana Crescent,Markham,Ontario,L6B 0P2
50.486754,-104.6515653,36,Andros Bay,Regina,Saskatchewan,S4X 4N9
43.8019616,-79.625976,36,Andy Crescent,Vaughan,Ontario,L4L 1A7
43.8032241,-79.6272362,106,Andy Crescent,Vaughan,Ontario,L4L 1A7
43.8031021,-79.6283321,165,Andy Crescent,Vaughan,Ontario,L4L 1A7
43.8010497,-79.6280554,225,Andy Crescent,Vaughan,Ontario,L4L 1A7
43.7962545,-79.4052667,23,Aneta Circle,Toronto,Ontario,M2M 3Y6
43.7336694,-79.3140413,45,Anewen Drive,Toronto,Ontario,M4A 1T7
45.2823135,-75.7105804,84,Anfield Crescent,Ottawa,Ontario,K2G 6T3
43.8515074,-79.5192666,39,Angel View Court,Vaughan,Ontario,L6A 1Y3
43.3690759,-79.7670395,614,Angela Court,Burlington,Ontario,L7L 5P9
43.3695255,-79.7670317,627,Angela Court,Burlington,Ontario,L7L 5P9
43.3397609,-80.3391895,54,Angela Crescent,Cambridge,Ontario,N1S 1P3
45.3750068,-75.6446261,38,Angela Private,Ottawa,Ontario,K1V 0H8
43.8281962,-79.570926,28,Angelico Avenue,Vaughan,Ontario,L4H 2W8
43.8276143,-79.5728679,81,Angelico Avenue,Vaughan,Ontario,L4H 2W8
46.5099588,-84.2942418,15,Angelina Avenue,Sault Ste. Marie,Ontario,P6A 3S5
43.7750185,-79.6000585,98,Angelina Avenue,Vaughan,Ontario,L4L 8C3
45.9638624,-66.692862,84,Angelview Court,Fredericton,New Brunswick,E3B 5Z1
43.8688007,-79.6314674,63,Angelwood Court,Vaughan,Ontario,L0J 1C0
43.8686514,-79.6321076,71,Angelwood Court,Vaughan,Ontario,L0J 1C0
43.8687159,-79.6333197,79,Angelwood Court,Vaughan,Ontario,L0J 1C0
43.8154478,-79.5571926,32,Angie Place,Vaughan,Ontario,L4L 1A6
43.8154383,-79.5571622,32,Angie Place,Vaughan,Ontario,L4L 1A6
44.1593571,-78.835181,23,Angle Street,Scugog,Ontario,L0B 1L0
45.46045,-75.498102,245,Anglehart Avenue,Ottawa,Ontario,K1E 3E0
43.5150601,-80.5007223,770,Angler Way,Waterloo,Ontario,N2K 4L7
43.6635961,-79.52638,55,Anglesey Boulevard,Toronto,Ontario,M9A 3E1
44.8187942,-76.0809577,73,Anglican Church Road,Rideau Lakes,Ontario,K7A 5B8
43.7581198,-79.2133783,15,Angora Street,Toronto,Ontario,M1G 1P1
50.4405048,-104.6192392,16,Angus Crescent,Regina,Saskatchewan,S4P 4K1
43.8910808,-79.3191996,20,Angus Glen Boulevard,Markham,Ontario,L6C 0A2
43.8917015,-79.3329006,256,Angus Glen Boulevard,Markham,Ontario,L6C 1P8
43.891378,-79.3210118,9,Angus Meadow Drive,Markham,Ontario,L6C 0M4
43.8913887,-79.3209407,9,Angus Meadow Drive,Markham,Ontario,L6C 0M4
44.7246058,-63.6983465,20,Angus Morton Drive,Bedford,Nova Scotia,B4B 0M3
